Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
233.5,24,Alabama,9,31,53,08,Sep 01,,,,,,,,SurveyMonkey-24
137.0,31,Alabama,9,33,52,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Alabama,9,31,53,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Alabama,9,38,61,,Jan 01,,,,,,,,Election 2012-1
274.0,5,Alaska,3,31,36,18,Oct 02,,,,,,,,Alaska Survey Research-5
233.5,24,Alaska,3,31,38,19,Sep 01,,,,,,,,SurveyMonkey-24
137.0,31,Alaska,3,32,53,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Alaska,3,33,48,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Alaska,3,42,55,,Jan 01,,,,,,,,Election 2012-1
277.0,3,Arizona,11,44,42,09,Oct 04,,,,,,,,Emerson Coll.-3
273.0,3,Arizona,11,42,42,05,Sep 30,,,,,,,,OH Predictive Insights-3
251.0,3,Arizona,11,38,40,12,Sep 08,,,,,,,,Marist Coll.-3
240.0,1,Arizona,11,40,44,08,Aug 27,,,,,,,,Gravis-1
240.0,3,Arizona,11,43,46,,Aug 28,,,,,,,,PPP-3
239.0,3,Arizona,11,40,39,07,Aug 27,,,,,,,,OH Predictive Insights-3
237.0,15,Arizona,11,35,34,07,Aug 31,,,,,,,,Behavior Research Center-15
233.5,6,Arizona,11,38,45,12,Aug 23,,,,,,,,Opinion Research-6
233.5,24,Arizona,11,37,39,13,Sep 01,,,,,,,,SurveyMonkey-24
216.5,4,Arizona,11,42,44,05,Aug 05,,,,,,,,YouGov-4
214.0,1,Arizona,11,45,42,04,Aug 01,,,,,,,,OH Predictive Insights-1
174.5,2,Arizona,11,40,44,,Jun 23,,,,,,,,PPP-2
172.0,1,Arizona,11,47,42,,Jun 20,,,,,,,,OH Predictive Insights-1
137.0,31,Arizona,11,38,46,,May 31,,,,,,,,Morning Consult-31
135.0,3,Arizona,11,38,40,,May 15,,,,,,,,PPP-3
 98.5,8,Arizona,11,42,35,,Apr 11,,,,,,,,Behavior Research Center-8
 69.0,5,Arizona,11,38,38,,Mar 11,,,,,,,,Merrill/West Group-5
 46.0,29,Arizona,11,39,46,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Arizona,11,44,54,,Jan 01,,,,,,,,Election 2012-1
260.0,3,Arkansas,6,34,55,03,Sep 17,,,,,,,,Hendrix Coll.-3
255.0,5,Arkansas,6,29,57,05,Sep 13,,,,,,,,Emerson Coll.-5
233.5,24,Arkansas,6,37,46,11,Sep 01,,,,,,,,SurveyMonkey-24
173.0,1,Arkansas,6,36,47,,Jun 21,,,,,,,,Hendrix Coll.-1
137.0,31,Arkansas,6,37,47,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Arkansas,6,38,47,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Arkansas,6,37,61,,Jan 01,,,,,,,,Election 2012-1
271.5,2,California,55,59,33,03,Sep 28,,,,,,,,SurveyUSA-2
257.5,10,California,55,47,31,10,Sep 18,,,,,,,,Public Policy Inst. of Calif.-10
254.0,7,California,55,50,33,05,Sep 13,,,,,,,,YouGov-7
253.5,4,California,55,57,32,03,Sep 11,,,,,,,,SurveyUSA-4
248.5,8,California,55,49,29,11,Sep 08,,,,,,,,Los Angeles Times-8
248.5,8,California,55,49,29,11,Sep 08,,,,,,,,SurveyMonkey-8
233.5,24,California,55,49,28,12,Sep 01,,,,,,,,SurveyMonkey-24
196.5,10,California,55,46,30,07,Jul 19,,,,,,,,Public Policy Inst. of Calif.-10
172.0,25,California,55,50,26,10,Jul 02,,,,,,,,Field Poll-25
153.5,4,California,55,48,33,,Jun 03,,,,,,,,YouGov-4
151.0,3,California,55,55,31,,May 31,,,,,,,,Marist Coll.-3
149.5,6,California,55,53,34,,May 31,,,,,,,,Field Poll-6
146.0,13,California,55,56,30,,May 31,,,,,,,,LA Times-13
141.5,4,California,55,52,38,,May 22,,,,,,,,SurveyUSA-4
138.5,10,California,55,49,39,,May 22,,,,,,,,Public Policy Inst. of Calif.-10
137.0,31,California,55,52,32,,May 31,,,,,,,,Morning Consult-31
131.0,13,California,55,45,33,04,May 16,,,,,,,,Hoover Institution-13
119.5,4,California,55,56,34,,Apr 30,,,,,,,,SurveyUSA-4
 92.0,5,California,55,60,26,,Apr 03,,,,,,,,SurveyUSA-5
